Image,mean_l,mean_a,mean_b,std_l,std_a,std_b,skew_l,skew_a,skew_b,label
AGX1,14.64539601673755,3.8772593355094918,0.14455342747587754,30.97810510768424,7.992878526383634,1.0261904903370236,1.7148422629083542,2.024912057958641,1.3378843301905727,normal
AGY1,22.914003651474218,6.249983984738281,1.2754396206443126,36.620587406768024,9.799039939995595,2.7443981580251053,0.9975666244598069,1.0997713763857733,2.0153209609562364,normal
AHA1,8.268970561341257,0.5638971899098265,0.5614198591119767,26.23597850072717,2.180755484175738,1.9708794224042925,2.8973802859921713,4.601127724954843,3.867981284648502,normal
AHD1,8.699899953893082,1.756447174774768,-0.870255308599551,26.185571156450276,5.893123080347908,3.1509335735779236,2.7432515772523542,3.9117602835106817,-4.239557331783945,normal
AHQ1,8.557369995212657,0.4179682633120401,0.162627183510588,26.7976003689554,1.6679517757077809,0.616718072149989,2.8770395663779085,5.175219449260895,3.145918934899538,normal
AHR1,13.838404212398817,2.999141733117743,1.4077404630404242,31.08595134959388,6.863765510684985,3.3963117521543937,1.8452407126914137,2.1937351356281396,2.361507918474433,normal
AHS1,17.042543431010344,3.2164178711055427,0.4424484330276358,34.47686472798636,7.076410317606949,1.663838059826563,1.5553791901340455,1.9983317632390476,2.2589817022356042,normal
AHT1,3.6910920718214535,0.13911322588442593,-0.015158014987711927,18.050846218548198,0.6437001797936248,0.3533857413145792,4.797934269328108,6.047651730359446,2.284699886611005,normal
AIB1,12.728759691903692,1.8695288626666846,-0.07736327510502577,31.154376283514676,4.750413232496849,1.4225250553036446,2.080414507810288,2.685620744147423,-1.1765421941868401,normal
AID1,1.5946436644813222,0.28189773622753506,-0.016175562413763042,10.863958548790235,1.6452447069321927,0.33870883783725714,7.056115343213551,7.56651240951646,-5.396183421512783,normal
AIF1,24.07021352584999,4.242675889653725,-1.5521087494211463,39.66589513172864,7.577016686651989,2.845954777559868,1.0605046048586066,1.50996573832774,-1.7075431244013386,normal
AIH1,4.138761209491941,0.16884764774984193,0.1823998441722892,19.12787019239324,0.890460457036977,0.9254677806328245,4.505476589131585,6.893677057851104,6.1486934682915,normal
AIL1,4.7353019204808735,0.22309107152210453,0.23591423787140733,20.382753481645288,1.174990666641905,1.2763241312739328,4.141110302209106,6.458192363181567,6.689832843000357,normal
AIO1,22.532381647749617,5.7814579475700585,-2.4446649710752566,36.99314956081817,9.5758967788201,4.196543801932721,1.0523104768999376,1.2549865969123977,-1.3835410183084924,normal
AJA1,10.327684663325668,1.0842052980450438,0.3048790068908786,28.70691007480258,3.320156759068389,1.8939383681385946,2.4679692887214046,3.5170681492729234,4.087541981869335,abnormal
AJC1,26.438147941110486,5.539294499971369,2.79831065720426,39.29187755296441,8.482064077051389,4.311457050816336,0.8334566302797923,1.053055706099643,1.1096783620812323,normal
