Image,mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,mean_lbp,median_lbp,std_lbp,kurtosis_lbp,skewness_lbp,SRE_deg0,LRE_deg0,GLN_deg0,RLN_deg0,RP_deg0,LGLRE_deg0,HGL_deg0,SRLGLE_deg0,SRHGLE_deg0,LRHGLE_deg0,SRE_deg45,LRE_deg45,GLN_deg45,RLN_deg45,RP_deg45,LGLRE_deg45,HGL_deg45,SRLGLE_deg45,SRHGLE_deg45,LRHGLE_deg45,SRE_deg90,LRE_deg90,GLN_deg90,RLN_deg90,RP_deg90,LGLRE_deg90,HGL_deg90,SRLGLE_deg90,SRHGLE_deg90,LRHGLE_deg90,SRE_deg135,LRE_deg135,GLN_deg135,RLN_deg135,RP_deg135,LGLRE_deg135,HGL_deg135,SRLGLE_deg135,SRHGLE_deg135,LRHGLE_deg135,coarseness_tamura,contrast_tamura,directionality_tamura,roughness_tamura,label
ACE1,34.94085173154941,27.45363122107308,26.590186055302336,81.64538517663327,65.67287666780346,63.596684921864956,2.0156172017705902,2.0551986793912222,2.0645063908953105,215.8176675618536,255.0,76.48497546733482,16.094300162281417,-1.5368638951141607,0.8388377087809926,310.45712663259513,3641.18352043565,45652.22803185836,0.47992369186046513,0.17722274996698337,17209.4809330363,0.1187298620702489,16024.425109533906,24473.00681431005,0.8369101456754984,186.86456701645434,4212.1429046701505,47782.708035875185,0.5041019118962433,0.18388510561903706,16769.784194402473,0.12913825603254814,15799.630696147633,21783.04871151527,0.8393783729203365,527.7477614138439,3558.9885714285715,45142.11237113402,0.4744800983899821,0.17823428944206693,17316.52966126657,0.1195858458532259,16053.75382678877,24905.238895434464,0.836498443514118,173.00530106437603,4176.742329415357,47680.12549090354,0.5035568537567084,0.18247723522852732,16799.450992908787,0.12741950663090335,15829.219847517194,21784.753209086746,6.083639176662432,46.41880235655841,467.3301778808971,52.50244153322084,abnormal
ACF1,70.13880340868742,64.33045753512673,69.38980521786179,111.28293872747138,103.47370632812272,110.51545530881553,0.9943461460728024,1.0169133821372984,0.9977821000685605,206.3947889014761,255.0,82.2702069598349,11.531145544177106,-1.7723990091183353,0.8375809933216956,239.81618540429446,3269.5383855473674,58217.28650913509,0.6921764964788732,0.13606337516824427,31817.282603018157,0.09435142858593554,28011.366811741686,177193.0918732329,0.8402746455092205,107.22703583760482,3692.476440688871,62117.96836596821,0.7329445422535211,0.1402367451037201,31538.05921461814,0.10085425432947533,28232.359510937094,157776.48326077167,0.8343612170345688,167.82856748963155,3262.4732948083133,57071.45554496054,0.6841282067404426,0.13702697205507045,31534.738129430283,0.09464928962845671,27549.356325561363,231466.2923842239,0.8383668007891838,121.32317151825256,3696.0823193017154,61648.92447435181,0.7311682595573441,0.1406179927682499,31491.97383583437,0.10106011739653008,28122.453665120785,135177.54719009332,7.754417259861691,89.34240710371895,566.7300386392498,97.09682436358065,abnormal
ACG1,60.52007384036244,49.59684308319709,57.32107285703082,104.63617087953668,87.7489958468781,99.84842115748378,1.213769224549458,1.2453313866915574,1.2199539571474083,204.9759204406291,255.0,83.07717779657942,10.999574491969788,-1.8064195565908079,0.8590554200581357,242.6750234741784,4638.871533646322,89312.33097026603,0.8026024919614148,0.13078191344294204,26170.391314553992,0.09018781106359416,23872.935544228378,45862.201181533645,0.8617802943371882,118.22208520595773,5273.523433495524,94904.23466181332,0.8454016780546624,0.13595083136346664,25685.61444861271,0.0984042674025515,23756.728207845845,38229.22954351298,0.8596234297721064,196.74001170731708,4656.401084878049,89723.91978926829,0.8046435389871383,0.13066460215351539,26173.094876097563,0.09026283458498698,23925.977293089825,45187.64761756098,0.8600798503204325,126.1372045834328,5224.5817319169255,94052.08095607544,0.8418408360128617,0.13545939403233587,25717.625999641918,0.09751646549242338,23740.173993606062,39129.21269246837,7.349716161025078,74.61158691619006,587.7974443918597,81.96130307721513,normal
ACH1,8.131799768518519,7.266832295657727,7.538304198595147,41.180677083068126,38.662346804401594,39.58264051498214,5.339240607346239,5.384058611630739,5.370332453725054,234.44989723020433,255.0,59.90358761307572,39.154610636114036,-1.0291588662033662,0.8263017988737027,1346.5503436480537,3193.0077281221297,20351.676780793718,0.26580179148706895,0.2553865697204609,10001.510246096348,0.18410555425245406,9807.510454615256,10833.845912646882,0.8039814844410952,548.5094559469392,3672.778315556751,20381.40775596785,0.2817803744612069,0.25871693039933885,9504.580861043889,0.18955860891414444,9369.276789321617,10059.599504048281,0.8283829520178403,1185.9854334031447,3280.126879434841,20742.256290831796,0.2693207839439655,0.25690312205556814,9881.883686036697,0.18612920030649371,9695.239700481072,10658.692976149541,0.8047041987243881,600.8259191671403,3669.956711640291,20385.538427020074,0.2814099542025862,0.25846868152387514,9487.366889041792,0.1899864247178179,9330.065132945352,10133.84506536632,4.459874880268199,16.86532408222385,598.2502911867477,21.32519896249205,normal
ACI1,39.29299118637354,29.657902554961378,31.02658323430382,88.2012606686348,68.60257837784773,71.6162468604396,1.9023467112985137,1.953349345969521,1.9353618316573196,212.59561918201624,255.0,78.78436897495276,14.346898372021922,-1.6147002775943422,0.8279636771452484,256.74863170653185,2950.2824650114576,34068.03577448251,0.5055434283088235,0.1812174542319915,18067.48718822794,0.11953924693941734,16649.751662122068,26107.48781319243,0.8256106295987762,111.96553393705729,3487.1378642517707,35818.57285035416,0.533902037377451,0.18956905805521643,17472.377405182462,0.13266875878626694,16292.050187294428,23462.17206132879,0.8256849202635828,322.90826761833495,2926.940635852568,33411.56566703122,0.49899471507352944,0.18290595300589854,17977.992555497996,0.12086422488479631,16410.152834031273,27662.88069609931,0.8245181953834134,145.45379603297454,3446.9925843262895,35572.630224270135,0.5319201899509803,0.18831760996689192,17477.175222290218,0.13058589007325885,16264.291112732295,23726.763256416718,6.545169835611012,50.59486763429431,476.0598355869009,57.14003746990532,normal
ACJ1,20.704395345758375,18.872765919889382,18.872265780144453,66.66529899831816,62.46113950405235,62.54356782411632,3.0680162992331907,3.0999433420992193,3.095187870231689,223.81425692472897,255.0,70.84940540545762,22.505069216344562,-1.320508318882889,0.8189034138712115,367.50282868035913,2633.0063337842826,20545.37141802976,0.29341079676674364,0.22679905433773123,17345.26586520723,0.1531664659687606,16571.58560284932,21578.42513221006,0.8040333886473904,196.35242771412985,3174.778964596434,21198.836333878888,0.31418699480369516,0.2342491375688868,16439.736497545007,0.16661352336339916,15846.58184927819,19323.337669049874,0.8139425629715243,323.93817913929644,2620.6356436859232,20335.874209589292,0.2938979503464203,0.22483588063539295,17410.53539198232,0.15144781110596978,16691.09630401973,21181.082110626805,0.800627199235162,192.46351510961313,3191.96465301184,20927.763172298564,0.31315855946882215,0.23460835339790123,16379.083599804108,0.16576465101893098,15708.583637053685,19637.348111658455,6.149961018519881,35.31596355266833,577.184329482672,41.46592457118821,normal
ACK1,13.258195032956685,12.269053083804144,12.037375431575644,54.19493783653771,51.33110680178406,50.43153827690671,4.026015975297472,4.065150590141145,4.0742796942291415,234.0878403562461,255.0,59.85939996443025,37.904012640208066,-1.0480639459891194,0.8111089355131341,1173.1622359796067,2920.939123573683,20411.94221898519,0.2727092161016949,0.2375924213634287,16572.21155013353,0.16378143185981614,15839.745301450028,20794.37739742656,0.7931973976236174,656.3605356529702,3444.031875929953,20677.153771317386,0.2892280190677966,0.2425732345274808,15765.359848918393,0.1734091673829911,15143.400900719906,19094.90025180268,0.806465301357727,1143.1577313506968,2780.4897712103807,19707.97432713501,0.2665932865466102,0.2337535396809372,16679.741129357713,0.15711117611823372,15853.57917466405,23024.887219445565,0.79259647481083,670.6068297713861,3450.721365954277,20626.507534521286,0.2888804290254237,0.24283435200709166,15741.750214862774,0.173692014783773,15092.41255833851,19243.339311293188,4.975331528562461,25.450906420046604,239.86927765529765,30.426237948609064,normal
ACL1,58.450044331946174,52.302712114061805,51.91652366038869,104.88557009480057,95.17140109097883,94.44248881025818,1.2824673605520247,1.3012837536679422,1.2989986386385923,211.10287871637564,255.0,79.0101950462964,13.545115931812841,-1.6667641913009819,0.8155647492666802,213.5034907510915,4046.9404357638523,59157.31752125034,0.6475497159090909,0.15009936873637314,28706.123167619327,0.10266979385667847,24808.50989501045,72311.69018793108,0.8158937341944622,105.15480997212329,4607.802055535163,63012.29584031904,0.6883809549825175,0.15292168163942813,28536.69801886886,0.10904792680377956,25181.290435459985,56680.99613099077,0.8109414865204508,306.927237077417,3876.9424489883863,57187.53963500032,0.6338914991258742,0.14829168586876207,28768.21751308957,0.10009410602936325,24541.904731754654,77360.31071297753,0.8177520513962113,108.66690336005996,4622.693521504581,63680.58698975315,0.692451103583916,0.15234652944452284,28614.397082753927,0.1083113739634574,25334.63205634504,54964.946231150825,7.504872938922019,76.50280152454293,463.8275362318841,84.00767446346495,abnormal
ACM1,35.3944151370622,31.723954569542805,35.093908079202194,80.26950822897341,73.31299161846158,79.70097419932132,1.9115138897964483,1.9244251575350584,1.9111974105329697,215.05839596280774,255.0,77.6074435737847,15.742959435352219,-1.5439860739344446,0.8376118162611206,272.1331283209093,2836.7177056774167,34016.28313124039,0.4938389081122645,0.17939102530695358,19142.076276299656,0.1268325597501404,17476.783935485735,33148.009361801516,0.8326696250261606,129.13295500608027,3243.5193647050155,35546.08328112909,0.5216647443291041,0.1832289556336373,18675.763275233076,0.13363802864651803,17269.758515685313,27952.676659173823,0.8345347844889183,266.710398291342,2808.5177391923426,33226.902029031364,0.4860246059207997,0.17963773792604815,18935.030356365936,0.12613070440136526,17196.942253922567,37630.75629869873,0.8298115789162755,174.20485275050936,3217.7308390442677,35075.55947397666,0.5189350249903883,0.18279441735964627,18721.621892943138,0.1324417872735234,17282.540067372884,28279.094739766624,6.9618622633328515,51.68804203985051,564.7354436608168,58.64990430318336,abnormal
ACN1,24.894227616891733,20.07847943173835,22.273831082663335,71.25025429615933,59.6122851529643,65.39544901536973,2.6765235885829024,2.7483513936494868,2.7099107517118193,218.26378502849113,255.0,74.94187783942388,17.876943879355252,-1.4705882490784121,0.808788385432231,286.5517882411698,5371.162592602869,44304.290225021505,0.5074946316048862,0.21581158403961664,14837.59200632613,0.13802490908128873,14061.778828945196,19331.321689187316,0.8009886683099656,173.19938781598162,6532.908535557256,46465.466764374,0.5428309923610378,0.22622240471262214,14098.940428788213,0.1545499958380068,13476.846049477967,17292.301111529032,0.8142611797916732,294.2352404265029,5360.409727696414,45138.58575004495,0.5090928292322315,0.21586157051552496,14856.58232031974,0.1399690366919408,14127.243234145211,19227.986364076394,0.8013108517103589,159.6855375337908,6471.129392805157,46421.33317737575,0.5417256310064421,0.22491305803054748,14126.779268039094,0.152904540475092,13493.066179577492,17261.813240798503,7.103824838029818,37.34804597427096,512.0656168800676,44.451870812300776,normal
ACO1,46.622173296847286,37.799967019939565,38.133515763577535,94.95155709543235,78.64808297314715,79.28872405837681,1.619470616856851,1.6421245046901183,1.638348832600734,213.42793411118737,255.0,78.31248827029223,14.809574866598876,-1.5925454601312785,0.8494086956214546,323.19734628010264,3085.2076080659845,49470.259854900556,0.5477967843326886,0.1488389407958911,23435.616038178257,0.10280949523491056,21523.310161045145,35541.409850762735,0.8497401469794563,160.57607152248224,3490.1111753878517,52034.86510649487,0.5746796421663443,0.15275379010686918,23029.814567446752,0.10908313189948653,21499.616850654795,31270.582842492768,0.8514749258625496,359.1775442094914,3032.4930829629016,49515.2466037971,0.5456132132495164,0.14714546124855926,23528.092711838588,0.10044623573634434,21589.62913230683,35518.42218160165,0.8456244894982492,170.65770944859048,3511.484955565518,51300.69330977558,0.5730325193423598,0.1538826438835676,22899.281176656732,0.10993315083277497,21221.25914608207,31731.360736794915,6.783370027364537,60.29990157485702,552.3064257946489,67.08327160222156,abnormal
ACP1,60.47611768573307,46.79829881656805,51.49849605522682,97.65366860708666,80.12021040362063,86.81708459677043,1.1611964154995873,1.1724577193752803,1.167910134709393,179.61747205785667,243.0,94.44419258624443,5.3334998299105685,-2.0133327271848,0.8922591814757053,37.17158048725595,3211.512856580206,54093.392786811455,0.7713975694444445,0.14566863806968475,16423.796995442524,0.10854397707060713,15872.894850665674,18818.43214426377,0.8952198004417788,24.110549606643357,3409.9098011363635,56233.39226398602,0.7944444444444444,0.14820443729904048,16128.775213068182,0.11257971239845552,15719.765503459865,17875.985959353147,0.9029611092591031,50.17028204093559,3241.4861901515255,56214.26574740152,0.7798285590277778,0.14516358089242487,16372.242538507562,0.10914562311474212,15914.721630999307,18336.917280051206,0.8946468143775025,28.402040844242002,3402.3293939020887,56060.33820290807,0.79326171875,0.1480430182042856,16133.548374300683,0.11224808578641406,15708.782890528497,17936.294280985407,6.835749506903353,69.25224344899577,670.9535813893154,76.08799295589913,abnormal
ACQ1,58.30136693305334,45.760318108460204,45.289949250422914,103.1776214583998,82.99524790825282,82.17603923284149,1.2793318034614318,1.3049751714817217,1.3129919659910325,203.98555289817028,255.0,83.42328146814744,10.592269796283492,-1.834539934321859,0.8530353040270263,193.56614272489117,3990.140164273474,69829.35590616321,0.7172383589511754,0.14609020147572083,22825.355935708798,0.10052047549505594,20761.10310920652,34971.96342256101,0.8541664122441383,103.15519168118797,4440.210811425108,72907.76659216607,0.745874773960217,0.1504675278017034,22506.999782180468,0.10703059987582772,20753.936136839897,31546.169501477383,0.8490068196217595,257.3608901268461,3866.9510249884775,67866.51257439432,0.7050039556962026,0.14598258434837602,22886.240496563332,0.09931606656332276,20636.911208858248,36764.13838847364,0.8574319222476214,97.89618936117982,4441.719243914874,73801.29499405177,0.7481492992766727,0.15002353382063524,22516.70183356308,0.10747806333100131,20834.91193673745,31347.424551995016,7.362787532326119,69.32839300113521,455.56654243941165,76.69118053346133,abnormal
ACR1,67.27663778689771,57.70176050356303,58.54711515249055,109.32958556244692,95.55057412462999,96.78767287465978,1.062696416433531,1.0818283054620106,1.078009503108117,203.1563754548787,255.0,83.8659074574218,10.374625607439405,-1.854518461084153,0.8413759064219898,200.6457222376844,3376.1759309768995,59936.348844976346,0.6070569312283737,0.13213483009942126,28701.735452268298,0.09071531183376863,25678.41780491911,48850.90984692457,0.8423260373873265,66.34915574824402,3801.7885279522247,63049.67899306109,0.6359956206747405,0.1368459474167159,28259.29115793724,0.0981816106692737,25666.67821561493,42826.40034216371,0.8410886685944733,155.56719307182883,3253.9311145072734,58912.63624837267,0.5969871864186851,0.13077674625707472,28861.415678949455,0.08913165540898062,25695.81188783699,51053.498511348844,0.8424971664230979,72.1248181769921,3798.378032595424,63116.08429155386,0.6365227616782007,0.1368818929077046,28322.972108085152,0.09789536315710937,25770.52367482444,42444.95623506928,7.323529411764706,82.23470963657077,485.7761109462267,89.55823904833548,normal
ACS1,87.47073142900612,69.80642805522803,83.74861359400555,118.44187975442829,95.95820562592243,114.12100744952346,0.6474640470237571,0.6829923251352072,0.6576351925125963,203.98636795861702,255.0,81.44485252877395,10.784297496565394,-1.879073893222172,0.8127703598427235,163.75993149336588,1386.7579038544825,31409.904720658295,0.46039370649651973,0.10245852849549952,31779.73122957597,0.06740204067840064,26518.746304785822,93581.91728020788,0.8279834339810722,109.1771306194172,1542.4154341777712,35159.56574901157,0.4951421113689095,0.10347173856436581,32017.742385415142,0.07208701669008276,27551.2289093584,67965.59122858397,0.814363830995341,213.6211426521011,1345.7433617733834,31151.404991627463,0.4546476218097448,0.10233529368567072,31848.114504425484,0.06795279014158893,26450.80726049748,96754.19559843713,0.8311683413607818,137.72830730634283,1582.7644299816386,35696.40280327958,0.49854082076566125,0.10494525346514552,31849.867198720163,0.07336757652958896,27507.505417601285,68092.05126620248,7.020257882925716,95.22899771930336,489.5412060033114,102.24925560222908,abnormal
ACT1,63.94783388874647,60.29323459709441,62.86376857843881,104.2961900819372,99.45214639146684,103.19421538787941,1.070568806841877,1.0777936607575402,1.0789222781059502,200.198648698136,255.0,85.85920646095933,9.39076095419702,-1.91480984605125,0.8732713433144541,257.3972892578441,5834.130384457416,116445.27984865646,0.9539679901215805,0.13774522926036914,29279.315886094068,0.09984420115282433,27078.468467436986,52377.789089822894,0.8746151461659658,140.01744248388596,6468.3834248746025,122304.82344250771,0.9965449278115501,0.1417323256061643,28921.397543278566,0.10538302333760514,27196.054310737687,44068.26139897299,0.880807730370107,245.25689133425035,6066.5540761118755,120974.28144276325,0.9710711911094225,0.14019580380603178,29115.646614702735,0.10369310089321652,27182.950468869214,53503.53532018951,0.8760875752539786,139.4167404651384,6474.015209419261,123070.90564097687,0.9988304996200608,0.14178774254342244,28943.257181235178,0.10533214944292485,27278.293765095194,44778.73849189604,6.4725057415942535,83.41232039990466,499.3915778792491,89.8848261414989,abnormal
