Image,mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,label
AEB1,73.68109876522948,61.310539042710914,61.76868705104849,110.13947779208156,94.16722469479087,94.84959026657822,0.9040890617824832,0.9263552264523688,0.9210432675709259,abnormal
AEC1,53.75335076179232,41.29670827008489,50.13904818125597,99.97870079091747,78.30536794624699,93.98175649713104,1.3742205861172798,1.42115832688011,1.3855516449391354,abnormal
AED1,31.25027897893709,27.01001611878303,28.813932673083183,80.53609897464577,71.32120696080047,75.65449353792762,2.29167145916124,2.3244741462182317,2.3064009917993338,abnormal
AEE1,35.52454116658105,29.739823160385434,28.73475614502094,80.77002129268028,69.58570349454004,67.20920637807276,1.9484767298148635,1.980254914476248,1.9867274171531406,abnormal
AEF1,41.475244299674266,36.344098030091516,41.026399875911274,90.97118290408534,81.38554647069591,90.30224055758208,1.806438686316961,1.8378553410480205,1.8092988373878385,abnormal
AEG1,11.780373111833072,10.319308704826339,9.91509528753726,51.56295699726328,46.26224253665837,44.497401890966444,4.330712609990256,4.38222642587589,4.403858906582492,normal
AEH1,61.04715821812596,55.79692780337942,57.414709305031884,106.4256662751869,98.55773421582714,101.26270820853145,1.2064663227647279,1.2238993627085613,1.2184840800730579,abnormal
AEI1,29.24803929366847,26.963963569837734,27.607870664969774,78.36695565630825,73.26085129494913,74.87912006026022,2.3863114211375307,2.409550059555859,2.402086610413465,normal
AEJ1,20.07155172413793,18.24121921182266,19.68613300492611,65.70977866127433,60.98453196701619,64.73148740170292,3.0943115688384863,3.1184801496256793,3.0999660518542607,abnormal
AEL1,39.15542050638337,33.02511506393575,37.73883803284042,88.58591670873436,76.49168822085284,86.11865528626174,1.907401527670003,1.933172144629757,1.9149529372443652,abnormal
AEM1,76.88034299482673,69.90136205796897,72.99138544397988,114.69369219956785,105.62582408624543,110.06297668089657,0.8531761448715347,0.8745853107370751,0.8663575519170779,abnormal
AEN1,76.70443728837638,65.73004522529776,65.11874600430943,114.79950276620768,99.5466005290707,98.64740983057399,0.8554465626417953,0.8801771785678937,0.8816052270523517,abnormal
AEO1,40.504998187186,36.20013937479106,39.520503632690925,90.75070169352942,82.14577221462662,88.8046573720084,1.8448222816342879,1.8642851449538722,1.8485228617034557,abnormal
AEP1,40.92904520372331,38.35121469578858,39.53485631474595,91.2076564610364,86.18338727934018,88.64730604944049,1.8186711087270246,1.8302806772854197,1.8251601656215157,normal
AEQ1,46.18670634920635,43.37891936968024,44.835616517138256,95.62966806821115,91.20638495961435,93.70186157483009,1.6420638133529672,1.6602442082375362,1.6493048369831704,abnormal
AER1,31.084387808597846,25.118208464398055,29.037025784005337,79.31315621134337,66.5703734786077,75.30364781821953,2.3022867087660948,2.375136514960834,2.319326550301387,abnormal
AES1,43.11149201970704,38.82412521799097,38.54540179962734,88.35907433591726,81.16241582781717,80.70616621647531,1.6405810152826434,1.655122722506786,1.6554207430655223,abnormal
