Image,mean_y,mean_u,mean_v,std_y,std_u,std_v,skew_y,skew_u,skew_v,label
AAN1,79.59596493097763,0.6117311957770661,18.299136970675903,113.67927082345146,1.3895660882562444,25.533526523790428,0.7565107923602403,1.9991595691556152,0.7694335716939434,abnormal
AAO1,48.88409495514668,2.006956075224467,16.446423310976414,90.85918632210712,3.9867810063646276,30.182238811170084,1.361157515781156,1.7318731871146675,1.409183915518451,abnormal
AAQ1,10.622991874943526,0.2583221216228431,2.844315080871058,48.053155542535364,1.3247916448316674,12.346376954105311,4.4405301297953805,6.70164299823188,4.500090531619091,abnormal
AAR1,34.9731032013826,-2.0927398697962905,10.140990626719049,79.89510547058528,5.297923951839132,22.28728853305113,1.9242320273876459,-2.483945814177669,1.940004141208743,abnormal
AAS1,11.166539009666222,-0.28568985833363536,2.911411340567875,48.58244262975283,1.4425482854659823,11.87500023877155,4.320856039809439,-6.168371755343373,4.332681372186862,normal
AAT1,12.574885426065165,-0.1450072681704257,3.2345994987468667,52.0262925792669,0.6803543325710324,12.804955230742092,4.023854783371164,-5.856280737053868,4.0692082914877865,normal
AAU1,55.85991342444133,0.20083098256338494,13.397050994588636,101.19864315250203,1.480112754914502,23.799086367678644,1.2860967972110078,0.8816050180070367,1.3083567724677376,abnormal
AAV1,53.30618365357639,0.41469495859980454,13.072838898920212,98.44634336614055,2.102950450317704,23.351560198929413,1.3511460161021027,1.0680162848834027,1.3864627295661376,abnormal
AAW1,28.086029266664575,0.7757663812315093,7.606723127896507,73.23817528841421,2.2657605659743836,19.44747079010644,2.275280499027042,3.0557717656534757,2.308787502333939,normal
AAX1,48.3522893366885,-1.4296136563348765,13.74734399131917,92.1902097419753,2.89815891874823,25.302239309114903,1.426355577558607,-1.8584598806460977,1.437983338188282,normal
AAY1,80.76508660679963,4.553266523406311,29.087677062899836,104.6048024834432,6.240920694558794,37.19823127810989,0.5519308055479933,0.8006156843489555,0.580804131021673,normal
AAZ1,20.203864759774156,-0.36013202909799197,6.255202750003805,62.87732340632086,1.3576403415709923,18.729455012884173,2.892837072995629,-4.155393999596244,2.9331474140182205,abnormal
ABA1,49.04393437815825,1.6726646834910792,13.768947878014414,91.3368905991842,3.7405439032434273,25.084845208235123,1.370492761739096,2.292633782646019,1.4427384035476707,abnormal
ABB1,65.01639919990721,-1.9421351692949886,17.533172445114406,103.31629054922357,3.30558249851189,27.366630971095898,0.9883017896849593,-1.544880819884166,1.0125312224395049,abnormal
ABC1,76.25748943659516,3.251730580847727,22.853220948892385,108.33957282421332,4.855506698754541,32.18932035808687,0.7342820379014091,1.0436018178548223,0.7576455581873193,abnormal
ABD1,26.50984718583635,-1.0974432348165821,10.27420924621425,66.91739760432692,3.1877807644924094,24.857922967862613,2.2354974155592995,-3.171184926216689,2.2515783595477514,normal
ABE1,33.67226250933175,-0.6249573275779551,9.308934912233685,79.7595884537773,1.5430599848655553,21.029198362077928,2.0354171659718348,-2.9541547824848524,2.064467163416291,normal
ABF1,45.580865143929906,-0.017091696962471592,9.440938549178536,90.93972203282337,1.101898617412239,18.70361233981797,1.5336922552387329,-1.2580038027876197,1.5818329284146118,abnormal
ABH1,17.21257494628768,-0.30286139141307367,4.660937874225134,59.93476627524862,1.4814940284915017,15.614553707355808,3.2836564503019017,-5.84030892496393,3.3043357924597787,abnormal
ABI1,65.13520948818574,-1.1315303613768275,17.718775181914808,102.77863451022868,2.243629224884368,27.09041523795272,0.9874802214250941,-2.087078940084651,1.0004000821028978,abnormal
ABJ1,49.04231361275682,0.4378290409540213,12.185459038364884,91.0673623887119,1.4643386776538758,21.889957469674105,1.3649494597869163,2.718287528788596,1.394874209330931,abnormal
ABK1,41.00000749897947,-1.5273035591120856,13.23628174133975,83.95874280869708,3.2074116788244846,26.131681263408716,1.620661749390126,-2.069970459964849,1.6419687854845204,abnormal
ABL1,49.73220851816968,-0.5003724021633432,15.270515845284395,88.16898208134641,1.4847881704117105,26.352692607692592,1.254720231449623,-2.72215442756018,1.2675810551876743,abnormal
ABM1,62.396953994019334,-0.1558870816124095,14.015504600227974,105.27641410833104,1.1105938698066036,22.758535063608473,1.143004220419684,-0.9779824624873843,1.1443052136235432,abnormal
ABN1,62.674369879659054,-2.1388614593928037,19.860232536160783,94.92833497724962,3.366630177605157,28.532291704696537,0.9113321859625159,-1.5753962509737345,0.90735701413934,abnormal
ABO1,70.4523972789924,0.46318273343814204,17.10353171157502,107.4897833359253,1.2499191863179107,25.648594027676367,0.8959874529032326,1.390908842369064,0.9001234259421842,abnormal
ABP1,31.490657898359608,0.6794131513737547,9.035237454353117,77.71931999678426,2.133658218605743,21.55546673082394,2.1409478413491008,3.3451837377442124,2.194522154533137,abnormal
ABQ1,39.0581077414537,-0.1903813474941907,11.188167938931294,85.18821314854105,1.6107545491222424,23.7397748741208,1.7710982634921775,0.9840088063397509,1.8098261185845732,abnormal
ABR1,41.81998682809336,-1.7645829734139542,12.076482570761291,86.81026859109859,3.9339062375180722,24.58991057121094,1.6351035305623605,-2.1838013641223615,1.658771708113672,abnormal
ABS1,45.31099022046794,0.08319575164247456,15.084050014282374,87.71916063172087,1.7065009319802735,28.708491862982203,1.4598531579723297,-2.5208779798451184,1.482121754299253,abnormal
ABT1,20.57998469246238,0.6264625234033707,6.003037220026349,64.61923561320326,2.1511931469298826,18.282995529289273,2.900101540832167,3.89186669257366,2.9556627502869848,normal
ABU1,35.99180651884117,-0.969208867651752,9.385618135220891,83.09447660794788,2.4265605269997685,20.84854443730039,1.933558839009185,-2.805262924312145,1.948994204955071,abnormal
ABV1,28.538845078508032,0.2795228076708256,9.293997703717498,70.92487910846,1.4098581355355908,22.098650435600288,2.171293246608554,3.799288072729532,2.189408082307265,abnormal
ABW1,49.937228162400345,-1.0035352850033863,12.70908191230864,94.95409028803049,2.37388913600413,23.555222615628225,1.416604595714969,-2.6377364029913326,1.4416680313107353,abnormal
ABX1,36.33525074231274,-0.6428534182818408,12.264984265702418,80.00501132918224,1.7727395675619282,26.357005604747435,1.8061819679608249,-2.7572919824312487,1.8271797907563845,abnormal
ABY1,70.90152398306724,-1.3818479035311286,21.2636262278466,103.2939630815717,2.2292094560023177,30.51135395978943,0.8089028857811862,-1.5091447888348268,0.8472881110731327,abnormal
ABZ1,23.597707986003915,-0.5358871723624726,7.260722900388693,67.04640282590837,1.6811320114373947,19.557381636330238,2.6123709289917167,-3.7197194648898564,2.6428758052469328,abnormal
ACA1,11.973497287215322,-0.1424607242993486,2.7883417016300984,51.44774998810227,0.7657630740094242,11.521320039202589,4.1826016320378105,-6.281199375810015,4.1840265908190295,abnormal
